sale_id,product_id,customer_id,quantity,sale_date,discount,channel,region
49,80,731,2,2024-02-12,0.01,Online,North
50,103,277,3,2025-09-01,0.01,Online,East
51,193,1931,2,2025-05-18,0.19,Store,South
52,87,1407,4,2024-07-10,0.06,Online,North
53,36,1766,5,2024-08-27,0.16,Store,South
54,132,1915,2,2025-06-29,0.26,Online,South
55,160,1920,1,2024-02-03,0.09,Online,South
56,69,1210,5,2024-08-03,0.29,Online,South
57,27,819,3,2025-03-04,0.12,Store,East
58,24,411,1,2024-04-26,0.26,Store,North
59,62,1193,2,2025-09-03,0.09,Online,North
60,8,1691,5,2025-07-10,0.05,Online,West
61,193,1769,5,2024-08-29,0.12,Store,North
62,72,1140,5,2024-03-08,0.21,Store,West
63,128,1352,5,2024-07-04,0.11,Online,South
64,192,1287,1,2024-01-15,0.19,Store,North
65,123,753,4,2024-07-28,0.21,Online,East
66,4,810,2,2024-12-21,0.03,Online,North
67,160,1644,1,2025-02-27,0.22,Store,West
68,55,382,3,2024-12-11,0.01,Online,West
69,38,639,2,2025-06-16,0.01,Online,East
70,92,930,4,2025-05-10,0.12,Online,West
71,6,1742,4,2025-06-19,0.26,Store,West
72,29,1095,5,2025-04-28,0.21,Online,South
73,107,16,5,2025-09-16,0.22,Store,East
74,102,1423,5,2025-05-03,0.16,Store,West
75,15,156,1,2025-02-23,0.12,Online,East
76,59,1004,2,2024-03-03,0.19,Online,East
77,137,420,1,2025-06-30,0.05,Store,West
78,169,1766,4,2025-08-09,0.17,Store,South
79,24,1766,1,2025-06-05,0.29,Store,South
80,10,1658,4,2025-10-29,0.2,Online,East
81,85,645,2,2025-01-23,0.08,Online,North
82,143,1503,2,2025-03-24,0.18,Store,North
83,15,1755,4,2024-02-26,0.09,Store,East
84,1,279,1,2025-01-17,0.3,Online,South
85,137,56,5,2024-11-18,0.02,Online,North
86,20,778,3,2025-07-21,0.29,Online,West
87,94,1880,5,2024-11-30,0.1,Online,South
88,134,632,5,2025-10-05,0.17,Store,South
89,160,740,3,2025-10-20,0.1,Online,West
90,186,981,2,2025-01-12,0.16,Store,North
91,22,499,4,2024-01-09,0.27,Store,East
92,16,91,4,2024-11-08,0.29,Store,West
93,55,266,5,2024-01-15,0.07,Store,South
94,80,1434,2,2025-06-15,0.01,Store,East
95,129,1326,2,2025-03-27,0.21,Store,East
96,72,698,2,2024-04-24,0.2,Store,North
97,136,1106,1,2025-09-17,0.17,Online,South
98,91,1910,5,2024-04-27,0.02,Online,South
99,115,1558,4,2025-11-26,0.2,Online,East
100,57,283,1,2025-09-10,0.19,Online,East
101,133,1495,5,2024-06-12,0.2,Online,South
102,111,1426,4,2025-09-04,0.06,Store,West
103,120,1937,4,2025-01-25,0.03,Store,East
104,13,729,2,2024-03-31,0.07,Store,North
105,136,992,5,2025-10-14,0.01,Store,East
106,178,1772,5,2025-10-07,0.27,Online,South
107,56,911,4,2025-07-07,0.27,Online,East
108,45,302,4,2025-09-02,0.15,Online,South
109,122,1150,2,2025-01-12,0.12,Store,West
110,8,1679,5,2025-10-01,0.07,Store,South
111,65,1191,4,2025-06-04,0.19,Online,East
112,97,194,5,2025-01-03,0.03,Store,West
113,24,1680,1,2024-10-25,0.12,Store,East
114,185,420,5,2025-05-06,0.01,Store,West
115,42,512,3,2024-06-19,0.22,Online,East
116,127,1832,3,2025-03-22,0.26,Online,South
117,113,1319,2,2025-04-05,0.15,Online,East
118,129,182,4,2024-10-04,0.15,Online,North
119,127,421,2,2025-10-11,0.05,Online,East
120,158,1059,1,2024-03-27,0.08,Store,West
121,182,1808,4,2024-06-30,0.11,Online,East
122,16,1534,5,2024-05-03,0.03,Online,North
123,197,4,4,2025-03-25,0.09,Online,East
124,37,1181,3,2025-07-19,0.21,Store,East
125,151,857,5,2025-11-04,0.04,Store,East
126,113,250,4,2025-07-23,0.17,Store,South
127,2,66,3,2025-02-04,0.05,Online,North
128,43,754,3,2024-05-07,0.06,Store,North
129,111,74,1,2024-11-01,0.22,Online,North
130,155,1233,5,2025-06-04,0.21,Store,North
131,86,824,3,2024-07-25,0.18,Store,South
132,80,1948,3,2024-04-19,0.01,Online,North
133,186,1488,4,2025-11-20,0.08,Online,West
134,136,902,5,2025-07-14,0.22,Online,East
135,79,94,4,2024-11-23,0.27,Store,South
136,52,668,4,2024-04-12,0.22,Store,South
137,30,1380,2,2024-02-09,0.04,Online,North
138,104,1479,5,2025-08-15,0.1,Store,West
139,103,812,5,2025-03-21,0.12,Online,South
140,90,1934,4,2024-09-02,0.19,Store,East
141,46,1329,2,2025-09-20,0.09,Store,East
142,126,45,2,2024-08-24,0.17,Store,North
143,53,758,1,2024-08-22,0.12,Online,West
144,174,323,3,2024-11-27,0.1,Online,South
145,70,1886,3,2024-05-30,0.22,Store,West
146,74,1005,5,2025-05-14,0.17,Store,South
147,197,765,2,2024-08-28,0.27,Store,West
148,58,814,1,2025-11-13,0.02,Online,West
149,192,1329,1,2024-12-20,0.21,Online,West
150,6,1169,5,2024-07-21,0.3,Store,East
151,94,1412,3,2024-02-15,0.03,Online,South
152,142,1925,4,2025-08-07,0.04,Store,North
153,14,191,1,2024-03-25,0.03,Online,West
154,190,1562,3,2025-09-11,0.13,Online,West
155,173,1384,1,2025-01-17,0.25,Store,West
156,54,871,2,2024-04-13,0.15,Online,South
157,13,886,5,2024-02-08,0.2,Store,West
158,157,29,2,2025-01-22,0.08,Store,West
159,176,1920,1,2025-09-16,0.24,Store,East
160,51,1790,2,2024-06-06,0.07,Online,East
161,49,446,1,2025-04-27,0.13,Online,East
162,168,943,5,2025-11-19,0.14,Store,West
163,164,1345,5,2024-04-19,0.29,Online,North
164,43,972,5,2024-03-17,0.22,Store,West
165,172,1859,2,2025-10-04,0.18,Online,West
166,114,777,4,2024-07-04,0.25,Store,North
167,19,1644,5,2025-03-12,0.15,Store,West
168,28,956,4,2024-08-02,0.13,Store,East
169,80,204,4,2024-04-10,0.09,Online,North
170,92,368,5,2025-06-26,0.14,Online,South
171,130,1560,2,2025-08-31,0.27,Online,East
172,15,1765,4,2025-01-12,0.02,Online,North
173,169,238,5,2024-01-11,0.1,Online,West
174,193,1173,3,2025-04-10,0.05,Store,East
175,111,1746,2,2025-07-19,0.16,Online,North
176,38,465,2,2025-06-19,0.12,Online,North
177,121,143,2,2023-12-22,0.01,Store,East
178,14,1651,1,2024-02-09,0.01,Online,South
179,136,99,2,2024-04-14,0.13,Online,South
180,10,1714,5,2024-10-11,0.2,Store,South
181,89,484,5,2024-10-14,0.16,Store,North
182,122,1941,1,2024-04-12,0.11,Store,South
183,66,1793,2,2025-06-16,0.12,Online,South
184,10,1112,3,2025-10-08,0.21,Store,North
185,146,274,2,2024-04-13,0.12,Store,North
186,23,1308,4,2024-03-02,0.07,Store,South
187,177,541,1,2024-05-13,0.05,Store,South
188,56,1645,5,2025-07-31,0.07,Store,South
189,25,1395,1,2024-01-08,0.26,Store,East
190,130,644,1,2024-06-22,0.09,Online,East
191,33,715,5,2025-08-14,0.14,Online,North
192,2,1204,5,2025-06-27,0,Online,East
193,116,882,3,2025-05-24,0.1,Store,West
194,182,1630,1,2024-07-31,0.25,Online,North
195,37,1800,1,2025-08-01,0.13,Store,East
196,127,281,4,2025-04-13,0.04,Store,East
197,89,1519,5,2025-09-02,0.02,Online,North
198,87,745,2,2024-05-28,0.27,Online,South
199,87,720,1,2024-06-30,0.12,Store,West
200,140,143,4,2025-01-29,0.23,Online,North
201,85,1314,2,2024-11-23,0.1,Online,North
202,132,1864,3,2025-01-23,0.27,Online,West
203,96,781,1,2024-08-06,0.16,Store,South
204,107,1421,1,2024-07-17,0.13,Store,East
205,31,1287,1,2024-07-12,0.27,Online,North
206,12,1574,4,2024-12-13,0.25,Store,South
207,122,1626,2,2024-03-13,0.27,Store,East
208,6,141,3,2024-04-22,0.09,Online,South
209,159,1572,1,2025-05-10,0.12,Online,South
210,183,1342,1,2024-01-26,0.17,Online,North
211,103,1745,1,2025-02-16,0.21,Store,East
212,5,760,2,2024-05-24,0.18,Store,West
213,107,220,4,2025-01-02,0.1,Online,North
214,89,673,2,2023-12-24,0.24,Store,East
215,172,239,2,2025-08-13,0.28,Online,East
216,59,26,1,2024-04-11,0.11,Store,North
217,137,592,2,2024-12-06,0.14,Store,North
218,143,1937,4,2025-03-13,0.16,Store,North
219,105,1054,3,2024-11-16,0.15,Online,East
220,89,1677,1,2024-07-02,0.03,Store,East
221,170,1984,1,2025-02-13,0.22,Store,South
222,84,1975,3,2025-02-22,0.12,Store,East
223,14,1999,1,2025-05-10,0.14,Online,North
224,106,327,4,2025-07-25,0.02,Online,North
225,70,1370,4,2025-02-09,0.23,Store,West
226,95,1261,5,2025-08-29,0.08,Online,South
227,102,1146,1,2025-08-06,0.12,Store,North
228,33,1111,5,2025-01-02,0.08,Online,East
229,194,1778,2,2025-07-06,0.3,Store,East
230,35,1065,5,2025-02-08,0.21,Store,East
231,197,1825,5,2025-08-03,0.27,Store,South
232,166,1671,1,2024-01-05,0.2,Online,West
233,161,1668,4,2024-07-02,0.13,Online,West
234,74,149,3,2024-11-19,0.15,Online,North
235,162,558,5,2024-10-01,0.22,Store,South
236,148,1156,5,2024-01-09,0.06,Online,North
237,48,355,5,2025-07-07,0.15,Online,North
238,172,462,5,2024-03-19,0.17,Store,South
239,72,1626,1,2025-11-08,0.21,Store,West
240,62,1821,2,2024-04-03,0.17,Store,South
241,1,829,5,2023-12-22,0.25,Online,North
242,93,777,3,2025-03-03,0.22,Online,West
243,174,1817,5,2024-09-20,0.11,Store,East
244,126,240,3,2024-01-27,0.08,Online,North
245,197,1929,3,2025-01-04,0.26,Store,North
246,51,926,3,2025-03-03,0.19,Store,West
247,8,705,2,2024-04-27,0.05,Online,East
248,111,80,5,2024-03-12,0.2,Online,East
249,166,1668,3,2023-12-02,0.05,Store,West
250,46,274,3,2024-03-13,0.26,Online,East
251,168,20,1,2025-07-26,0.23,Online,East
252,91,1931,4,2024-01-23,0.09,Store,South
253,58,456,1,2024-09-10,0.03,Store,West
254,162,1964,4,2025-07-08,0.18,Store,East
255,7,151,1,2024-07-08,0.12,Online,West
256,107,1215,4,2024-09-07,0.14,Online,North
257,191,1174,4,2024-12-09,0.06,Online,West
258,2,1524,5,2025-09-24,0.07,Online,North
259,54,530,2,2024-06-20,0.06,Online,North
260,81,160,5,2025-11-19,0.13,Store,West
261,176,446,1,2025-01-21,0.23,Online,South
262,48,1720,4,2024-02-11,0.17,Online,North
263,168,1112,2,2023-12-30,0.2,Store,South
264,58,624,5,2025-02-20,0.03,Online,South
265,124,717,5,2025-11-09,0.27,Online,North
266,73,937,3,2025-07-22,0.15,Online,North
267,144,1805,1,2025-07-15,0.14,Store,West
268,146,12,4,2025-01-17,0.27,Online,West
269,11,559,2,2025-11-12,0.24,Online,West
270,159,530,3,2025-03-18,0.19,Store,South
271,161,1562,4,2024-04-01,0.14,Store,West
272,102,1628,5,2025-10-13,0.28,Store,West
273,64,1353,2,2025-11-22,0.01,Online,West
274,134,1143,1,2025-08-14,0.04,Online,North
275,37,1772,3,2024-12-02,0.08,Online,West
276,147,890,1,2025-10-27,0.18,Online,West
277,166,383,1,2024-08-05,0.22,Store,South
278,12,227,5,2025-08-27,0.21,Online,South
279,142,1736,3,2025-07-31,0.2,Store,North
280,129,1145,2,2025-11-11,0.02,Online,East
281,192,1856,5,2025-07-02,0.05,Store,West
282,4,188,3,2025-07-29,0.16,Online,East
283,101,888,5,2024-04-02,0.02,Online,North
284,125,634,3,2024-05-15,0.22,Online,North
285,170,287,2,2024-04-19,0.06,Online,South
286,53,156,4,2024-12-01,0.14,Online,North
287,62,1007,2,2025-02-12,0.22,Store,South
288,58,1497,2,2025-01-13,0.06,Store,South
289,160,1070,5,2024-07-21,0.1,Online,South
290,17,468,1,2025-09-01,0.05,Online,East
291,73,1430,1,2024-02-16,0.14,Store,South
292,14,887,5,2025-05-06,0.26,Store,North
293,57,1933,2,2024-08-15,0.25,Store,West
294,115,1758,3,2024-05-26,0.1,Online,West
295,74,1723,3,2025-01-06,0.15,Store,East
296,109,1655,2,2025-03-21,0,Online,East
297,81,1576,1,2024-02-07,0.21,Online,North
298,152,322,5,2025-08-18,0.16,Store,West
299,124,732,4,2024-09-04,0.02,Store,East
300,20,396,5,2024-01-19,0.13,Online,South
301,115,1088,2,2025-09-27,0.01,Store,South
302,195,1370,4,2023-12-20,0.13,Online,South
303,140,1458,5,2024-07-09,0.19,Online,West
304,157,1008,2,2024-12-29,0.24,Online,East
305,176,1372,1,2024-11-16,0.15,Online,West
306,186,1088,3,2025-10-10,0.22,Online,West
307,1,1196,1,2024-06-02,0.06,Online,East
308,51,230,2,2024-08-31,0.18,Online,South
309,14,423,1,2024-08-24,0.08,Online,South
310,55,913,3,2025-11-11,0.14,Online,East
311,47,1795,2,2024-06-23,0.18,Online,North
312,157,589,4,2025-03-15,0.27,Store,South
313,136,932,1,2025-07-24,0.07,Online,South
314,54,826,3,2024-10-18,0.03,Online,West
315,13,969,4,2025-03-10,0.1,Store,West
316,133,302,5,2023-12-27,0.22,Store,North
317,195,1614,3,2025-06-19,0,Online,East
318,149,1096,1,2024-03-11,0.1,Store,East
319,199,321,5,2025-09-04,0.09,Store,East
320,108,990,3,2025-03-31,0.17,Store,South
321,44,350,3,2025-08-24,0.03,Store,North
322,2,1519,5,2025-02-05,0.19,Store,West
323,195,710,2,2025-02-11,0.12,Online,South
324,65,184,3,2025-10-10,0.26,Online,South
325,200,384,2,2024-08-03,0.18,Store,North
326,59,803,2,2024-06-02,0.23,Store,West
327,23,84,1,2025-04-21,0.28,Store,West
328,86,1929,3,2024-08-31,0.08,Online,South
329,186,572,5,2024-07-23,0.03,Online,West
330,92,1941,3,2024-02-29,0.01,Store,East
331,26,310,5,2025-04-03,0.27,Online,South
332,62,121,5,2025-05-23,0.27,Online,East
333,62,34,4,2025-07-18,0.04,Store,East
334,95,4,3,2024-06-29,0.25,Store,West
335,155,1384,5,2024-06-01,0.16,Store,South
336,153,819,4,2024-04-30,0.12,Store,East
337,130,722,1,2024-09-16,0.02,Store,East
338,106,936,5,2024-12-14,0.26,Store,South
339,141,1648,4,2024-02-27,0.02,Store,North
340,36,1858,1,2024-02-24,0.25,Online,South
341,93,1211,4,2025-06-11,0.01,Online,West
342,172,1873,1,2024-10-08,0.05,Online,East
343,190,918,4,2024-05-08,0.02,Store,East
344,171,660,4,2025-03-25,0.17,Online,South
345,41,1637,2,2024-11-03,0.25,Store,East
346,64,1466,5,2024-07-01,0.05,Store,East
347,155,1010,5,2025-04-26,0.28,Online,West
348,48,1749,1,2024-11-16,0.18,Online,South
349,181,592,1,2024-11-28,0.19,Store,West
350,70,629,5,2025-08-14,0.05,Online,South
351,158,1931,1,2025-11-06,0.02,Store,West
352,20,1601,5,2025-08-03,0.14,Store,South
353,164,1968,4,2025-03-24,0.26,Online,East
354,180,1967,1,2024-10-25,0.21,Online,North
355,73,1798,3,2025-10-05,0.3,Store,South
356,60,457,5,2024-05-08,0.14,Store,North
357,48,1798,2,2025-08-06,0.26,Online,North
358,107,498,2,2025-01-02,0.21,Store,North
359,54,1109,4,2025-01-31,0.3,Store,East
360,53,1442,1,2024-12-18,0.17,Online,North
361,32,1068,1,2024-11-26,0.21,Store,West
362,93,522,4,2025-06-21,0.28,Store,North
363,176,1999,5,2025-11-01,0.25,Online,South
364,63,966,5,2024-12-11,0.28,Online,South
365,108,885,1,2023-12-19,0.14,Online,North
366,18,473,1,2025-08-23,0.22,Store,East
367,141,3,4,2025-05-06,0.3,Store,East
368,89,1702,3,2024-07-10,0.18,Store,South
369,173,1285,1,2024-12-09,0.07,Store,West
370,157,562,1,2024-02-05,0.06,Store,South
371,39,1176,1,2025-04-08,0.19,Store,South
372,38,854,5,2025-01-22,0.1,Store,North
373,35,774,1,2025-11-15,0.2,Online,West
374,197,291,3,2024-07-26,0.28,Online,East
375,34,1527,4,2024-06-01,0.13,Store,South
376,18,79,4,2025-08-13,0.11,Online,South
377,63,55,5,2025-04-03,0.1,Store,West
378,189,997,1,2025-01-08,0.03,Online,North
379,55,930,4,2024-10-20,0.04,Online,West
380,45,1677,5,2024-01-11,0.01,Store,South
381,62,984,3,2024-09-19,0.07,Store,West
382,70,954,2,2025-06-07,0.23,Online,North
383,152,1822,1,2025-10-05,0.04,Store,South
384,96,152,3,2024-02-07,0.09,Store,West
385,106,1984,1,2025-08-23,0.28,Online,East
386,135,1716,3,2024-09-01,0.08,Online,South
387,116,1976,4,2024-01-08,0.11,Store,East
388,33,393,2,2024-03-12,0.15,Store,North
389,149,1204,3,2024-11-16,0.24,Online,North
390,98,366,5,2024-05-21,0.07,Store,East
391,37,1344,3,2024-04-07,0.22,Online,North
392,63,1836,3,2024-07-10,0.13,Online,South
393,173,1592,2,2025-05-22,0.17,Store,West
394,6,1122,4,2025-10-29,0.16,Online,South
395,107,29,1,2025-11-16,0.06,Online,South
396,187,1843,2,2024-10-26,0.28,Store,South
397,39,1785,5,2024-07-11,0.11,Online,West
398,103,423,4,2024-02-07,0.15,Store,South
399,67,393,3,2024-05-20,0.18,Store,West
400,195,285,3,2025-01-13,0.12,Store,North
401,183,392,2,2024-10-11,0.17,Online,West
402,109,89,4,2024-10-03,0.06,Online,East
403,184,840,4,2024-08-20,0.24,Online,South
404,76,644,3,2025-06-30,0.15,Online,North
405,2,92,4,2024-07-26,0.05,Online,West
406,106,1861,5,2024-02-01,0.29,Online,South
407,34,1267,2,2025-10-11,0.22,Online,West
408,65,317,1,2024-11-16,0.02,Online,West
409,143,1711,2,2025-11-19,0.27,Online,West
410,95,1101,3,2025-09-20,0.17,Online,West
411,83,552,5,2025-01-04,0.27,Store,East
412,139,1077,2,2025-07-02,0.03,Store,East
413,43,951,1,2025-08-01,0.29,Online,South
414,29,596,2,2024-02-12,0.1,Online,North
415,146,386,4,2025-07-01,0.12,Store,South
416,166,311,2,2024-12-07,0.16,Store,West
417,67,1264,4,2024-07-26,0.16,Online,North
418,134,362,3,2025-09-03,0.11,Online,West
419,86,19,1,2024-01-17,0.1,Store,West
420,92,1163,4,2024-04-27,0.17,Online,West
421,28,1981,2,2024-01-03,0.02,Store,South
422,104,534,1,2025-02-19,0.28,Online,East
423,178,1913,3,2024-12-31,0.11,Store,West
424,193,361,3,2023-12-13,0.05,Online,East
425,153,441,4,2024-02-28,0.22,Online,South
426,195,414,3,2023-12-26,0.24,Store,South
427,115,1854,5,2024-03-24,0.27,Online,North
428,92,819,4,2024-01-05,0.26,Online,North
429,142,178,2,2025-07-16,0.1,Online,East
430,119,1772,1,2025-02-11,0.09,Online,West
431,131,361,5,2024-10-11,0.06,Online,North
432,107,1178,5,2024-12-31,0.25,Online,North
433,30,1877,5,2024-10-14,0.2,Online,North
434,11,314,3,2024-06-28,0.25,Store,South
435,5,1158,4,2025-08-04,0.02,Online,South
436,80,136,2,2024-02-16,0.02,Store,East
437,111,836,3,2024-04-15,0.03,Store,West
438,176,735,2,2025-06-11,0.29,Store,West
439,89,1497,1,2025-06-01,0.17,Online,East
440,93,1962,4,2025-05-08,0.24,Online,North
441,78,1617,1,2024-03-30,0.21,Online,South
442,181,557,4,2025-09-05,0.09,Store,North
443,43,1769,5,2025-06-25,0.29,Online,East
444,7,261,4,2025-10-22,0.04,Store,South
445,31,965,3,2025-10-14,0.3,Online,North
446,194,1884,2,2024-07-14,0.03,Online,South
447,99,1236,5,2025-03-20,0.09,Online,West
448,146,1929,2,2023-12-16,0.07,Store,North
449,86,1466,1,2024-05-09,0.13,Online,West
450,74,1142,2,2025-11-20,0.08,Online,South
451,12,373,1,2024-02-18,0.16,Store,South
452,85,1727,3,2024-11-03,0.16,Store,North
453,67,916,4,2024-06-12,0.3,Store,West
454,183,1449,3,2024-08-24,0.02,Online,West
455,181,1521,4,2024-05-22,0.16,Store,East
456,144,1389,1,2025-07-16,0.02,Store,East
457,20,15,3,2025-09-09,0.01,Online,West
458,163,1817,4,2025-10-25,0.01,Online,West
459,6,1656,5,2024-01-06,0.05,Store,East
460,42,860,4,2025-05-28,0.2,Store,North
461,148,1198,4,2024-06-23,0.17,Online,East
462,92,1816,3,2024-08-27,0.23,Online,South
463,192,266,4,2025-03-19,0.11,Online,East
464,57,761,4,2025-08-31,0.14,Online,South
465,69,177,2,2024-06-25,0.25,Store,West
466,84,297,3,2024-04-21,0.28,Online,West
467,194,360,4,2025-09-07,0.12,Store,West
468,125,323,3,2025-10-15,0.01,Online,South
469,109,749,4,2025-02-14,0.1,Store,North
470,158,370,3,2024-03-09,0.09,Store,North
471,194,1255,2,2024-12-01,0.22,Online,East
472,144,638,3,2025-08-18,0.21,Online,East
473,81,833,5,2025-08-08,0.08,Store,South
474,166,1948,1,2024-11-26,0.02,Store,South
475,182,1367,1,2025-06-14,0.24,Online,East
476,181,1550,1,2024-11-28,0.15,Online,North
477,200,1290,4,2025-02-22,0.01,Online,East
478,120,837,3,2024-01-30,0.13,Online,North
479,197,749,2,2024-04-01,0.07,Online,East
480,197,320,2,2025-05-07,0.05,Online,East
481,141,4,3,2025-08-04,0.15,Online,South
482,110,1713,2,2024-08-01,0.11,Store,West
483,63,568,3,2025-09-09,0,Store,North
484,3,1736,2,2024-03-05,0.29,Store,South
485,132,1041,1,2025-10-31,0.02,Online,South
486,173,527,5,2025-10-01,0,Store,South
487,85,207,1,2024-11-16,0.04,Store,West
488,94,529,5,2023-12-26,0.16,Store,West
489,64,881,2,2025-11-10,0.18,Store,North
490,27,473,4,2025-10-27,0.05,Store,West
491,87,1323,1,2024-03-10,0.18,Store,East
492,136,1253,1,2024-03-17,0.3,Store,West
493,113,110,3,2025-07-29,0.01,Store,East
494,95,1321,4,2023-11-28,0.04,Store,South
495,174,1566,4,2025-05-29,0.05,Store,East
496,189,1697,5,2024-08-28,0,Online,South
497,186,1982,1,2024-01-24,0.21,Store,East
498,72,1210,3,2025-04-30,0.1,Online,West
499,169,129,4,2025-09-30,0.15,Store,South
500,86,1891,3,2024-04-15,0.2,Online,West
501,51,936,1,2025-06-17,0.05,Store,North
502,48,900,1,2025-10-31,0.16,Online,West
503,56,1064,3,2024-08-20,0.24,Store,South
504,71,356,2,2024-01-12,0.15,Online,West
505,45,442,2,2024-06-26,0.05,Store,East
506,179,272,1,2025-11-15,0.16,Online,South
507,18,1910,3,2024-03-06,0.14,Online,East
508,187,210,2,2024-02-21,0.03,Online,South
509,12,115,3,2025-07-29,0.18,Online,East
510,91,1600,3,2024-01-30,0.3,Online,South
511,68,1097,1,2025-05-08,0.11,Store,East
512,32,1995,1,2024-12-12,0.08,Online,South
513,156,743,5,2025-06-09,0.19,Online,East
514,63,332,3,2024-02-03,0.01,Store,East
515,138,589,1,2025-08-06,0.17,Online,North
516,148,1392,4,2024-12-22,0.19,Online,West
517,175,528,1,2025-08-24,0.08,Online,South
518,110,913,3,2024-01-23,0.22,Online,South
519,10,808,4,2025-10-22,0.16,Store,East
520,58,142,4,2024-10-02,0.04,Store,East
521,88,1130,2,2025-06-26,0.03,Online,East
522,139,515,1,2024-12-19,0.28,Online,East
523,15,1787,2,2024-02-17,0.03,Online,South
524,82,189,1,2025-06-26,0.12,Store,North
525,105,1042,4,2025-06-16,0.11,Store,South
526,152,172,1,2024-03-10,0.14,Online,East
527,161,1475,1,2024-12-22,0.11,Online,West
528,165,996,1,2025-11-13,0.17,Store,East
529,192,1748,5,2025-10-17,0.24,Store,West
530,67,880,2,2024-03-03,0.29,Store,North
531,41,423,5,2024-05-06,0.07,Store,West
532,144,218,4,2025-08-19,0.15,Online,South
533,6,8,4,2024-11-05,0.19,Online,South
534,106,125,5,2025-04-07,0.05,Store,South
535,70,1318,1,2024-02-09,0.26,Online,South
536,184,842,5,2024-04-29,0.12,Online,South
537,23,185,1,2024-05-02,0.04,Store,South
538,144,145,4,2024-05-13,0.09,Store,North
539,80,1889,3,2024-06-17,0.17,Store,South
540,84,1619,4,2023-12-04,0.18,Store,North
541,43,1550,3,2025-03-31,0.16,Online,West
542,87,1938,3,2023-12-16,0.24,Online,East
543,159,1916,3,2024-01-09,0.04,Store,East
544,104,1762,4,2025-06-13,0.18,Store,North
545,127,746,3,2024-01-01,0.11,Store,East
546,197,1419,5,2024-08-10,0.01,Store,West
547,12,1988,2,2025-10-12,0,Online,South
548,31,582,5,2025-01-26,0.19,Online,South
549,148,391,4,2025-02-13,0.17,Online,East
550,59,1626,5,2025-11-20,0.04,Online,North
551,121,139,3,2025-09-24,0.03,Online,East
552,110,1459,4,2025-02-04,0.23,Online,North
553,93,428,1,2025-07-14,0.09,Store,South
554,43,1522,1,2025-01-31,0.12,Store,West
555,72,1735,3,2025-07-17,0.01,Online,South
556,93,621,1,2023-12-11,0.16,Store,North
557,128,982,2,2025-08-02,0.1,Online,South
558,200,1115,5,2025-07-31,0.01,Online,East
559,86,1260,2,2025-08-26,0.22,Online,South
560,198,1990,2,2024-09-25,0.01,Store,East
561,107,1869,2,2024-08-18,0.19,Online,East
562,151,297,2,2024-02-28,0.01,Online,South
563,161,503,2,2024-03-01,0.22,Store,West
564,176,1754,4,2024-02-10,0.18,Online,South
565,106,46,1,2025-10-04,0.13,Store,North
566,90,884,5,2025-05-29,0.02,Online,South
567,105,712,5,2024-09-23,0.11,Store,South
568,147,1907,3,2024-09-11,0.06,Online,East
569,162,953,4,2025-06-15,0.08,Online,West
